구분,시도,용도,차종,유종,일평균주행거리
578,서울,비사업용,승용차 일반형,휘발유,32.12005457
579,부산,비사업용,승용차 일반형,휘발유,5.846258503
580,서울,비사업용,승용차 일반형,휘발유,10.15664336
581,대구,비사업용,승용차 일반형,휘발유,9.498659517
582,경북,비사업용,승용차 일반형,휘발유,7.31387808
583,강원,비사업용,승용차 일반형,휘발유,17.22720898
584,경기,비사업용,승용차 일반형,휘발유,9.311018131
585,서울,비사업용,승용차 일반형,휘발유,15.74969916
586,경기,비사업용,승용차 일반형,휘발유,40.55916169
587,경기,비사업용,승용차 일반형,휘발유,12.60852197
588,전북,비사업용,승용차 일반형,휘발유,37.17808219
589,서울,비사업용,승용차 일반형,휘발유,8.805442177
590,경기,비사업용,승용차 일반형,휘발유,18.48885794
591,경기,비사업용,승용차 일반형,휘발유,8.256164384
592,서울,비사업용,승용차 일반형,휘발유,7.974043716
593,서울,비사업용,승용차 일반형,휘발유,18.94426952
594,충남,비사업용,승용차 일반형,휘발유,6.305630027
595,대구,비사업용,승용차 일반형,휘발유,22.12083333
596,경기,비사업용,승용차 일반형,휘발유,18.53566622
597,경기,비사업용,승용차 일반형,휘발유,41.65768194
598,부산,비사업용,승용차 일반형,휘발유,18.27534247
599,울산,비사업용,승용차 일반형,휘발유,22.24344023
600,경기,비사업용,승용차 일반형,휘발유,7.603305785
601,서울,비사업용,승용차 일반형,휘발유,29.90958904
602,경기,비사업용,승용차 일반형,휘발유,50.25244073
603,경기,비사업용,승용차 일반형,휘발유,48.1852861
604,경기,비사업용,화물차 특수용도형,경유,3.825842697
605,전남,비사업용,화물차 특수용도형,경유,2.148337596
606,경기,비사업용,화물차 특수용도형,경유,1.434666667
607,전북,비사업용,승용차 일반형,휘발유,21.32073171
608,광주,비사업용,승용차 일반형,휘발유,25.67889908
609,서울,비사업용,승용차 일반형,휘발유,16.28497409
610,경남,비사업용,승용차 일반형,휘발유,19.86068833
611,충남,비사업용,승용차 일반형,휘발유,33.09920417
612,서울,비사업용,승용차 일반형,휘발유,27.31496649
613,서울,비사업용,승용차 일반형,휘발유,29.81392045
614,경기,비사업용,승용차 일반형,휘발유,24.68002524
615,서울,비사업용,승용차 일반형,휘발유,24.39544808
616,서울,비사업용,승용차 일반형,휘발유,14.05277778
617,전북,비사업용,승용차 일반형,휘발유,33.0253641
618,경기,비사업용,승용차 일반형,휘발유,21.98680739
619,경기,비사업용,승용차 일반형,휘발유,23.78180301
620,서울,비사업용,승용차 일반형,휘발유,7.31185567
621,전북,비사업용,승용차 일반형,휘발유,45.87568306
622,서울,비사업용,승용차 일반형,휘발유,55.32944606
623,경북,비사업용,승합차 특수용도형,경유,2.583333333
624,경남,비사업용,승합차 특수용도형,경유,1.863270777
625,부산,사업용,특수차 견인형,경유,232.1955923
626,경기,사업용,특수차 견인형,경유,159.324159
627,부산,사업용,특수차 견인형,경유,214.7628866
628,인천,사업용,특수차 견인형,경유,96.07062147
629,인천,사업용,특수차 견인형,경유,147.7120823
630,경기,비사업용,승용차 일반형,휘발유,24.99184783
631,전북,사업용,특수차 구난형,경유,2.724565757
632,경북,사업용,특수차 구난형,경유,11.7664042
633,경북,비사업용,특수차 구난형,경유,5.983425414
634,경기,비사업용,화물차 일반형,LPG,2.8625
635,광주,비사업용,승용차 다목적형,휘발유,78.68230563
636,서울,비사업용,화물차 일반형,경유,9.175675676
637,경남,비사업용,승용차 다목적형,경유,35.0207824
638,충북,비사업용,화물차 특수용도형,경유,0.109090909
639,경북,비사업용,특수차 특수작업형,경유,0.795640327
640,경남,사업용,특수차 구난형,경유,7.497252747
641,경기,비사업용,화물차 일반형,경유,115.2442748
642,경기,비사업용,화물차 일반형,경유,4.557692308
643,대전,비사업용,화물차 특수용도형,휘발유,4.176470588
644,부산,비사업용,화물차 특수용도형,휘발유,1.099431818
645,대전,비사업용,화물차 특수용도형,휘발유,1.62992126
646,대구,비사업용,승용차 일반형,휘발유,17.16489362
647,경기,비사업용,승용차 일반형,휘발유,41.43982252
648,충남,비사업용,승용차 일반형,휘발유,16.01373626
649,인천,비사업용,승용차 일반형,휘발유,22.35116598
650,경기,비사업용,승용차 일반형,휘발유,12.23848238
651,서울,비사업용,승용차 일반형,휘발유,12.73458445
652,경기,비사업용,승용차 일반형,휘발유,15.78071334
653,경기,비사업용,승용차 일반형,휘발유,24.15364583
